AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
4,0,4,0,1,1,0,0,1,1,1,0,1,0,0,0,1,34,4,9,6,1,21,3,5,4,1,1,0,2.33,1,0,0,0.0,0.0,No bug,2,0,34,0,2,2,2,8482.878611111111,8482.878611111111,318.0,294
12,0,12,0,1,1,0,0,1,1,1,0,1,0,0,0,1,46,5,24,18,9,17,19,21,17,9,1,0,0.71,1,0,0,0.0,0.0,No bug,1,0,46,0,1,1,1,0.0,0.0,45.0,45
25,1,20,4,2,9,4,36,11,11,7,6,11,0,5,0,6,925,57,789,200,641,80,218,237,158,106,5,2,0.1,17,0,0,0.0,0.0,No bug,5,0,925,0,5,4,4,1368.0011111111112,1368.0011111111112,563.75,45
25,2,22,0,2,3,0,1,6,6,6,4,6,0,1,0,5,251,27,206,107,127,19,104,115,93,46,3,1,0.09,9,0,0,0.0,0.0,No bug,10,0,251,0,10,3,3,1098.3447839506173,1098.3447839506173,544.0,13
13,1,12,1,2,2,11,6,72,72,48,5,59,0,25,3,31,1126,116,935,316,589,86,367,516,250,339,11,4,0.09,161,0,0,0.0,0.0,No bug,27,0,1124,0,27,7,7,560.8611965811966,560.8611965811966,320.85714285714283,13
27,1,21,5,3,2,22,17,31,32,1,0,23,1,3,0,19,878,55,663,263,408,162,296,364,214,194,14,4,0.24,78,0,0,0.0,0.0,No bug,24,0,878,0,24,6,6,640.0657971014492,640.0657971014492,407.1666666666667,13
12,0,12,0,2,2,0,1,3,3,3,1,3,1,0,0,2,72,7,45,13,26,20,25,33,11,24,5,1,0.44,7,0,0,0.0,0.0,No bug,1,0,72,0,1,1,1,0.0,0.0,13.0,13
6,0,6,0,1,1,0,1,6,6,5,3,5,0,0,0,5,83,10,56,29,14,17,26,33,23,12,2,1,0.3,7,0,0,0.0,0.0,No bug,2,0,83,0,2,1,1,3296.0222222222224,3296.0222222222224,45.0,45
18,0,13,4,3,1,4,3,4,4,0,0,4,0,0,0,4,127,16,76,37,35,35,47,58,37,33,5,2,0.46,10,0,0,0.0,0.0,No bug,2,0,127,0,2,1,1,5309.172777777778,5309.172777777778,45.0,45
4,0,4,0,1,1,1,0,4,4,3,2,4,0,0,0,4,46,6,23,8,5,17,8,13,8,5,1,0,0.74,4,0,0,0.0,0.0,No bug,1,0,46,0,1,1,1,0.0,0.0,45.0,45
22,2,18,2,2,2,0,1,4,4,4,2,4,0,1,0,3,142,17,93,44,46,32,49,59,36,32,5,2,0.34,8,0,0,0.0,0.0,No bug,3,0,142,0,3,1,1,2654.586388888889,2654.586388888889,45.0,45
9,0,8,0,2,1,0,1,7,7,7,1,7,0,2,0,5,104,13,73,27,26,18,25,38,18,21,2,1,0.25,12,0,0,0.0,0.0,No bug,1,0,104,0,1,1,1,0.0,0.0,45.0,45
6,0,6,0,1,1,0,0,7,7,7,2,7,0,0,0,7,85,13,51,23,20,21,28,39,21,19,2,1,0.41,10,0,0,0.0,0.0,No bug,4,0,85,0,4,3,3,3200.142962962963,3200.142962962963,227.0,45
